Program Title,Program ID,Category,Room #,Min Cap,Max Cap,Supervisor(s)
Art of Music Production: Creating a Song in 30 Minutes,1,1,112 Setubal,17,18,Setubal
Cannibalism + Math Club,2,1,116 Wajima,17,18,Wajima
I made an AI play 100 hours of Kahoot: Here is what happened,3,1,130 Cole,17,18,Cole
Operation Barbarossa: The Largest Invasion in History,4,1,133 JFelder,17,18,"Felder, Joyce"
Rumble in the Academic Jungle: A Quiz Bowl Competition,5,1,134 Newmark,17,18,Newmark
Order In the Court: The Most Interesting Court Cases Of All Time,6,1,139 Klein,17,18,Koch
"Epistemology, Morals and is Anything Real?",7,1,141 Caudill,17,18,Caudill
Ocean Bowl: A Deep Dive Into Hydrothermal Vents,8,1,142 Hames,17,18,Hames
Confidence 101,9,1,144 Russell,17,18,Russell
Molecular Gastronomy 101: Making Caviar from Fruit,10,1,145 Weaver,17,18,Weaver
3d printing: the future of digital piracy,11,1,203 Thelen,17,18,Thelen
Russia vs. Ukraine + The Search to Research,12,1,207 Page,17,18,Page
"654 Days, 80 Essays, 1 Path - College Admissions Advice that Changes Everything",13,1,225 Grimes,17,18,Grimes
"The Digital Future: Cryptocurrency, NFTs, and everything else Web3",14,1,227 Velasquez,17,18,Velasquez
Exploration of Film: History and facts of the International Medium,15,1,228 Sauzet,17,18,Sauzet
Alumni Panel (TBD),16,1,230 Arcaro,17,18,Barnett
C.R.I.M.E: Common Regulated Investigative Methods Explained,17,1,231 Kellogg,17,18,Kellogg
Goblins Are Real + Moon Landing Conspiracy Theory,18,1,233 Ferrando,17,18,Cherveny
Filmmaking 101: Planning,19,1,236 Rios,17,18,Rios
Lights Out!: blackout poetry session hosted by the School's Book Club,20,1,238 Schmitz,17,18,Schmitz
Paper treasures: the art of origami ,21,2,112 Setubal,18,19,Setubal
"Every Now and Zen:Yoga, mediation, and stress relief tactics ",22,2,118 Drama,18,19,Rasnick
Midsummer Island Adventure: Genshin Impact Themed Games,23,2,129 Dyrdahl,18,19,Kraft
Kpop: The Cultural Phenomenon that Took Over The World,24,2,132 Yang,18,19,Yang
"The Convoluted and Fun Process of ""Baking"" Nanaimo Bars and More",25,2,133 JFelder,18,19,"Felder, Joyce"
Bootlegging: History of Moonshiners In Appalachia,26,2,137 Montague,18,19,Montague
Cake Boss: Have Your Cake and Eat it Too !,27,2,141 Caudill,18,19,Caudill
Ekphrastic Art: Introduction to Blackout Poetry,28,2,203 Thelen,18,19,Thelen
Indian Classical Dance ,29,2,212 Music,18,19,Brown
The Evolution of Dunking + The Wu Tang Saga,30,2,226 Hess,18,19,Hess
PB&J: The Best Sandwich Ever Created,31,2,227 Velasquez,18,19,Velasquez
Alumni Panel (TBD),32,2,230 Arcaro,18,19,Barnett
The History of Ballet: From the Italian Renaissance to the Present,33,2,232 Foster,18,19,Foster
Guac Bottom,34,2,233 Ferrando,18,19,Cherveny
Film Screening of Azul: How I Made my Own Animated FIlm,35,2,234 Chalifoux,18,19,Chalifoux
Filmmaking 101: Filming,36,2,236 Rios,18,19,Rios
Manhwa World + The Art of Taekwondo,37,2,238 Schmitz,18,19,Schmitz
Ice Cream With a Twist?!,38,2,239 Pedersen,18,19,Pedersen
The History of Science Fiction: Specifically in Movies and Television,39,2,240 Fristoe,18,19,Fristoe
Mics On Fire: The Art of Karaoke,40,3,114 KFelder,18,19,"Felder, Kenny"
Wii Love Dancing: Just Just Dance,41,3,118 Drama,18,19,Rasnick
Football 101,42,3,129 Dyrdahl,18,19,Dyrdahl
Shot put: The art of throwing a heavy ball ,43,3,132 Yang,18,19,Yang
"Golf, the greatest game ever",44,3,133 JFelder,18,19,"Felder, Joyce"
Spikeological Warfare: learn about and play spike ball,45,3,135 Winter ,18,19,Winter
